train_loss,lr,epoch
3.634418860459939,0.001,0
3.320672007707449,0.001,1
3.181967583986429,0.001,2
3.145314424465864,0.001,3
3.0820382818197594,0.001,4
3.040215110167479,0.001,5
3.0147557518421073,0.001,6
2.994751051450387,0.001,7
2.9473598278485813,0.001,8
2.9081421800148792,0.001,9
2.9568468913053856,0.001,10
2.9230873187383017,0.001,11
2.919613141279954,0.001,12
2.911019953397604,0.001,13
2.9020791114904942,0.001,14
2.880603068914169,0.001,15
